Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
4918,1225170015012LSTL0,B70015STKINGLTHM18|B70015STKINGLTHM10,1524,2
4919,1225170015012LSTL0,B70015STKINGLTGC04|B70015STKINGLTHM34,119,2
4920,1325217413077TUSP0,B1756013ULSPRTGR02|B1756013ULSPRTGC01,2741,2
4921,1325217613082TUNE0,C17570R13ULNTLGC04|C17570R13ULNTLGC03,2698,2
4922,1225170015012LSTL0,B70015STKINGLTHM28|B70015STKINGLTGC20,2907,2
4923,1225170015010LSTL0,B70015STKINGLTGC19|B70015STKINGLTHM12,1915,2
4924,1325217613082TUNE0,C17570R13ULNTLGC06|C17570R13ULNTLGC05,1828,2
4925,1225170015012LSTL0,B70015STKINGLTHM45|B70015STKINGLTHM44,1033,2
54801,1325218415084TTMX0,B18560R15TAXIMHM06|C18560R15TAXIMHM01,2648,2
54802,1325215613075TTMX0,B15570R13TAXTLGC02|B15570R13TAXTLGC01,2757,2
54803,1325216614081STMX0,B1657014TAXIMXGC04|B1657014TAXIMXGC03,1529,2
54804,1325216614081STMX0,C16570R14TAXTLHM02|C16570R14TAXTLHM01,0,2
75201,1325218515088HTMX0,B18565R15TAXMHMI04|B18565R15TAXMHMI03,105,2
75202,1325221416095VURL0,B2156016UXROYLGC18|B2156016UXROYLGC06,0,2
75203,1325214813075SUNE1,B1458013ULNEO1GC12|B1458013ULNEO1GC06,1425,2
75204,1325218515088HTMX0,B18565R15TAXMHMI02|B18565R15TAXMHMI01,538,2
75205,1325221416095VURL0,B2156016UXROYLGC09|B2156016UXROYLGC07,1316,2
75206,1325217514082TTMX0,B1756514TAXIMXHM02|B1756514TAXIMXGC01,2731,2
75207,1D25115013008QXPC0,B155R13ULTXPCHMI04|B155R13ULTXPCHMI02,2601,2
75208,1325221715100SRHT0,C21575R15RHTTLHM15|C21575R15RHTTLHM09,2070,2
75209,1325214813075SUNE1,B1458013ULNEO1GC20|B1458013ULTNEOHM02,1217,2
75210,1325217614084HURL2,B1757014UXROYBGC02|B1757014UXROYBGC01,1475,2
75211,1325218515088HTMX0,C18565R15TAXIMHM04|C18565R15TAXIMHM02,2088,2
75212,1325221417100HURL1,C21560R17UXRTLHM11|C21560R17UXRTLHM07,1613,2
75213,1325218515088HTMX0,C18565R15TAXIMHM03|C18565R15TAXIMGC02,2192,2
75214,1325223517104HRHT0,B23565R17RHTTLHM09|C23565R17RHTTLHM02,2972,2
75215,1325214813075SUNE1,B1458013ULNEO1GC15|B1458013ULNEO1HM05,0,2
75216,1325221417100HURL1,B2156017UXROYLGC06|B2156017UXROYLGC02,1226,2
75217,1325221416095VURL0,B2156016UXROYLGC16|B2156016UXROYLGC05,2899,2
75218,1325218515088HTMX0,C18565R15TAXIMHM08|C18565R15TAXIMHM05,2370,2
75219,1325221416095VURL0,B2156016UXROYLGC02|B2156016UXROYLGC01,2510,2
75220,1325216514079TTMX0,C16565R14TAXIMHM02|C16565R14TAXIMHM01,2817,2
75221,1325223517104HRHT0,C23565R17RHTTLGC02|C23565R17RHTTLGC01,2685,2
75222,1325218415088VLHP0,B1856015LEVHPHMI02|B1856015LEVHPHMI01,2955,2
75223,1325221417100HURL1,C21560R17UXRTLHM08|B2156017UXROYLGC01,1816,2
75224,1325218515088HTMX0,C18565R15TAXIMHM07|C18565R15TAXIMHM06,2218,2
75225,1325221416095VURL0,B2156016UXROYLGC12|B2156016UXROYLGC08,2609,2
75226,1325214613071TTMX0,B1457013TAXMXHMI04|B1457013TAXMXHMI03,2603,2
75227,1325217614084HURL2,B1757014UXROYHMI04|B1757014UXROYHMI03,1298,2
75228,1325217514082HURL2,B17565R14UXROLGC08|B17565R14UXROLGC07,2548,2
75229,1325217514082TTMX0,B1756514TAXIMXGC02|B1756514TAXIMXHM03,2115,2
75230,1325216614081STMX0,C16570R14TAXTLGC02|C16570R14TAXTLGC01,2470,2
8601,1225170015012LSTL0,B70015STKINGLTHM25|B70015STKINGLTHM23,0,2
8602,1225221715115SSTL0,B2157515STLKNGHM13|B2157515STLKGHMI05,455,2
8603,1225221715115SSTL0,B2157515STLKNGHM12|B2157515STLKNGHM11,1708,2
8604,1225170015012LSTL0,B70015STKINGLTGC12|B70015STKINGLTGC08,2829,2
