MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
C155R13ULTXPC1HM17,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM19,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM21,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM23,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM25,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM26,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM27,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM28,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM29,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM30,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM31,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM32,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1HM22,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C10R20JSJDEXFGC01,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC02,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC03,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC04,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC05,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC06,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC07,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC08,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC09,1121129A20152JDLF0,3000,FREE
C10R20JSJDEXFGC10,1121129A20152JDLF0,3000,FREE
R00011R20JDCXDGC06,1121111020016KCXD0,3000,FREE
R00011R20JDCXDGC07,1121111020016KCXD0,3000,FREE
L10R20JSJDEXFGC11,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFGC12,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFGC13,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM04,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM08,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM12,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM14,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM20,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM22,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM24,1121129A20152JDLF0,3000,FREE
L10R20JSJDEXFHM25,1121129A20152JDLF0,3000,FREE
C29580R225JUMGC04,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C29580R225JUMGC05,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C29580R225JUMGC06,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C29580R225JUMGC07,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C29580R225JUMGC08,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C29580R225JUMGC11,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C21560R17UXRTLGC03,1325221417096HURL0,3000,FREE
C21560R17UXRTLGC04,1325221417096HURL0,3000,FREE
R029580R225JUMHM08,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
R029580R225JUMHM16,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
R029580R225JUMHM17,"112222982C016MJM10, 112222982C016MJM1E, 112222982C016MJUM0",3000,FREE
C10R20JS12116HM01,"1121129A20152J1211, 1121129A20152JDLF0",3000,FREE
R000011R20JUC3HM11,1123111020016KJC30,3000,FREE
R000011R20JUC3HM12,1123111020016KJC30,3000,FREE
C21560R17UXRTLHM29,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM01,1325221417096HURL0,3000,FREE
C21560R17UXRTLHM02,1325221417096HURL0,3000,FREE
C10R20JSJDH316HM03,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM04,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM05,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM06,1121110020016KDH30,3000,FREE
C10R20JSJDH316HM07,1121110020016KDH30,3000,FREE
C10R20JSJDE16HM39,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM40,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM41,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM43,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM45,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM51,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM54,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM59,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM74,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM75,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM83,1121110020016KDEP0,3000,FREE
C10R20JW30216HM04,"1123110020016K3021, 1123129A20000J3021, 1123129A20000JUCM0, 1123129A20152JUCM0",3000,FREE
C25565R18RATTLGC01,ZMLD,3000,FREE
