MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
B20560R15ZPHYRSY02,1325220415091VZEP0,3000,FREE
B20560R16UXRLBGC01,"1325220416092VURL0, 1325220416092VURP0",3000,FREE
B20560R16UXRLBGC02,"1325220416092VURL0, 1325220416092VURP0",3000,FREE
B20560R16UXRYLGC01,1325220416092VURL0,3000,FREE
B20560R16UXRYLGC02,1325220416092VURL0,3000,FREE
B2056515TORINGGC01,1325220515094VUTR0,3000,FREE
B2056515TORINGGC02,1325220515094VUTR0,3000,FREE
B2056515TORINGHB01,"1325220515094VETR0, 1325220515094VUTR0",3000,FREE
B2056515TORINGHB02,"1325220515094VETR0, 1325220515094VUTP0, 1325220515094VUTR0",3000,FREE
B2056515TORINGHM01,1325220515094VUTR0,3000,FREE
B2056515TORINGHM02,1325220515094VUTR0,3000,FREE
B2056516UXTOUHMI01,1325220516095HUTR0,3000,FREE
B2056516UXTOUHMI02,1325220516095HUTR0,3000,FREE
B2056516UXTOURGC01,1325220516095HUTR0,3000,FREE
B2056516UXTOURGC02,1325220516095HUTR0,3000,FREE
B20565R15CRUSBMK03,1325220515094SELA0,3000,FREE
B20565R15CRUSRGR02,1325220515094SELA0,3000,FREE
B20565R15CRUSRMK01,"1325120515094SELA0, 1325220515094SELA0",3000,FREE
B20565R15CRUSRMK02,"1325120515094SELA0, 1325220515094SELA0",3000,FREE
B20565R15CRUSRMK04,1325220515094SELA0,3000,FREE
B20565R15CRUSRMK05,1325220515094SELA0,3000,FREE
B20565R15CRUSRSY02,"1325120515094SELA0, 1325220515094SELA0",3000,FREE
B20565R15CRUSRSY04,"1325120515094SELA0, 1325220515094SELA0",3000,FREE
B20565R15TAXTLHM03,1325220515094VTMX0,3000,FREE
B20565R15TAXTLHM04,1325220515094VTMX0,3000,FREE
B20565R15UXRYLGC01,"1325220515094VURL0, 1325220515094VURL1, 1325220515094VURL2",3000,FREE
B20565R15UXRYLGC02,"1325220515094VURL0, 1325220515094VURL1, 1325220515094VURL2",3000,FREE
B20565R15UXRYLHM01,"1325220515094VURL0, 1325220515094VURL1",3000,FREE
B20565R15UXRYLHM02,"1325220515094VURL0, 1325220515094VURL1",3000,FREE
B20565R15ZPHYRBSY1,"1325220515091VZEP0, 1325220515094VZEP0, 1325220515094VZEPT",3000,FREE
B20565R15ZPHYRBSY2,"1325220515091VZEP0, 1325220515094VZEP0, 1325220515094VZEPT",3000,FREE
B20565R15ZPHYRGC01,1325220515094VZEP0,3000,FREE
B20565R15ZPHYRGC02,1325220515094VZEP0,3000,FREE
B2058016BRT4X4SY01,1425220816110QBRT0,3000,FREE
B2058016BRT4X4SY02,1425220816110QBRT0,3000,FREE
B205R16ULTXPC1GC01,1225220Z16008RXC10,3000,FREE
B205R16ULTXPC1GC02,1225220Z16008RXC10,3000,FREE
B215/75R16XPC1GC01,"1225121716008SXC10, 1225121716010SXC10, 1225221716008SXC10, 1225221716010SXC10, 1D25121716008SXC10, 1D25221716008SXC10",3000,FREE
B215/75R16XPC1GC02,"1225121716008SXC10, 1225121716010SXC10, 1225221716008SXC10, 1225221716010SXC10, 1D25121716008SXC10, 1D25221716008SXC10",3000,FREE
B215/75R16XPC1GC03,"1225121716010SXC10, 1225221716010SXC10, 1D25121716008SXC10",3000,FREE
B215/75R16XPC1GC04,"1225121716010SXC10, 1225221716010SXC10, 1D25121716008SXC10, 1D25221716008SXC10",3000,FREE
B21514STELKINGHM01,1225121Z14112LSTL0,3000,FREE
B21514STKINGDCDC05,1225121Z14112LSTL0,3000,FREE
B21514STKINGDCDC06,1225121Z14112LSTL0,3000,FREE
B21514STKINGDCDC07,"1225121014010PSTL0, 1225121Z14112LSTL0",3000,FREE
B21514STKINGDCDC08,"1225121014010PSTL0, 1225121Z14112LSTL0",3000,FREE
B21514STKINGDCDC09,1225121Z14112LSTL0,3000,FREE
B21514STKINGDCDC10,1225121Z14112LSTL0,3000,FREE
B2156016UXROYLGC01,"1325221416095VURL0, 1325221416095VURL1",2510,75219
B2156016UXROYLGC02,"1325221416095VURL0, 1325221416095VURL1",2510,75219
B2156016UXROYLGC03,"1325221416095VURL0, 1325221416095VURL1",0,15207
B2156016UXROYLGC04,1325221416095VURLT,3000,FREE
B2156016UXROYLGC05,"1325221416095VURL0, 1325221416095VURL1",2899,75217
B2156016UXROYLGC06,"1325221416095VURL0, 1325221416095VURL1",0,75202
B2156016UXROYLGC07,"1325221416095VURL0, 1325221416095VURL1",1316,75205
B2156016UXROYLGC08,"1325221416095VURL0, 1325221416095VURL1",2609,75225
B2156016UXROYLGC09,"1325221416095VURL0, 1325221416095VURL1",1316,75205
