Day_Idx,Date,Machine,From_SKU,To_SKU
24,2026-05-24,4911,1325121715100SBRT0,1325121715100SRBT0
24,2026-05-24,4912,1325121715100SBRT0,1325121715100SRBT0
24,2026-05-24,4923,1225170015010LSTL0,1325121715100SRBT0
24,2026-05-24,9702,1225170015010LSTL0,1225121Z14112LSTL0
24,2026-05-24,9704,1325121715115SLTB0,1225121Z14112LSTL0
25,2026-05-25,4402,1325119815106QBRQ0,1325214812074TUHL0
25,2026-05-25,4403,1325119815106QBRQ0,1325214812074TUHL0
25,2026-05-25,4405,1325119815106QBRQ0,1325214812074TUHL0
25,2026-05-25,4801,1325218515088TURS0,1325214812074TUHL0
25,2026-05-25,9414,1325119815106QBRQ0,1325214812074TUHL0
25,2026-05-25,24801,1325217614084HURL1,1325215513073TUHL0
25,2026-05-25,75220,1325216514079TTMX0,1325216614081SUTR0
25,2026-05-25,24809,1325216514079TTMX0,1325216814085SUTR0
25,2026-05-25,14809,1225222615008RXC10,1325216814085SUTR0
26,2026-05-26,75214,1325223517104HRHT0,1325216614081STMX0
26,2026-05-26,75221,1325223517104HRHT0,1325216814085SUTR0
26,2026-05-26,24801,1325215513073TUHL0,1325121715100SRXT0
26,2026-05-26,75220,1325216614081SUTR0,1325121715100SRXT0
26,2026-05-26,4902,1225219015008SLTB0,1225121Z14112LSTL0
27,2026-05-27,14805,1325221715100SRHT0,1325217514082TUTR0
27,2026-05-27,15203,1325219416089HRHE0,1325217514082TUTR0
27,2026-05-27,15204,1325217514082HURL2,1325217514082TUTR0
27,2026-05-27,15206,1325221715100SRHT0,1D25215013008SXC11
27,2026-05-27,15209,1325226517112HRHT0,1D25215013008SXC11
27,2026-05-27,15210,1325221715100SRHT0,1D25215013008SXC11
27,2026-05-27,15211,1325219416089HRHE0,1D25215013008SXC11
27,2026-05-27,15212,1325217514082HURL2,1D25215013008SXC11
27,2026-05-27,24812,1325221715100SRHT0,1D25215013008SXC11
27,2026-05-27,24814,1325219416089HRHE0,1D25215013008SXC11
27,2026-05-27,75208,1325221715100SRHT0,1D25215013008SXC11
27,2026-05-27,75228,1325223715105SRXT0,1D25215013008SXC11
27,2026-05-27,14807,1325219416089HRHE0,1D25215013008SXC11
27,2026-05-27,14801,1325217514082HURL2,1D25215013008SXC11
27,2026-05-27,15207,1325217514082HURL2,1D25215013008SXC11
27,2026-05-27,24819,1325217514082HURL2,1D25215013008SXC11
27,2026-05-27,75209,1325226517112HRHT0,1D25215013008SXC11
28,2026-05-28,9402,1325114812074TUHL0,1325214812074TUHL0
28,2026-05-28,14802,1325216814085TURL0,1D25215013008SXC11
28,2026-05-28,9405,1325114812074TUHL0,1225222716121MXC11
28,2026-05-28,9406,1325114812074TUHL0,1325217613082TUNE0
28,2026-05-28,14811,1D25215Z13008QXPC0,1325220416092VURL0
28,2026-05-28,14813,1325215613075TUHL0,1325216814085TURS0
28,2026-05-28,24805,1325215613075TUHL0,1325221417100HURS0
28,2026-05-28,24821,1325214813075STMX0,1325221416095VURS0
28,2026-05-28,75210,1D25215Z13008QXPC0,1325114613071TTMX0
28,2026-05-28,75217,1D25215Z13008QXPC0,1325221317098VUX10
29,2026-05-29,15202,1325221715100SRXT0,1325220516095HUTR0
30,2026-05-30,9413,1325121715100SRBT0,1325214812074TUHL0
30,2026-05-30,4911,1325121715100SRBT0,1325217613082TUNE0
30,2026-05-30,4912,1325121715100SRBT0,1325217613082TUNE0
30,2026-05-30,4923,1325121715100SRBT0,1325217613082TUNE0
